iter	Logloss
0	0.6595066336
1	0.63221398
2	0.6096631278
3	0.5869235532
4	0.5668770861
5	0.5507756677
6	0.537134375
7	0.5263509238
8	0.5142883536
9	0.5058522498
10	0.4967975545
11	0.4889256236
12	0.4824805906
13	0.4763462215
14	0.4712813091
15	0.4657885633
16	0.4613094053
17	0.4570157352
18	0.453548146
19	0.4498482937
20	0.446987062
21	0.4440936708
22	0.4414109756
23	0.4388393172
24	0.4364622986
25	0.4353664122
26	0.4335726565
27	0.4316126573
28	0.4294556784
29	0.4274600011
30	0.4258785077
31	0.4245573094
32	0.4233608098
33	0.4218839414
34	0.4203882163
35	0.4193827883
36	0.4185066182
37	0.4174780323
38	0.4165812493
39	0.4158666181
40	0.4151041112
41	0.4145249471
42	0.413816808
43	0.4131423752
44	0.412528164
45	0.4118553765
46	0.4112143337
47	0.4107598606
48	0.410089563
49	0.4097106652
50	0.4091969395
51	0.4086361278
52	0.4081701095
53	0.4077498235
54	0.4075075583
55	0.4070827968
56	0.4067273169
57	0.4064875733
58	0.4061003805
59	0.4055768143
60	0.4053375172
61	0.4048565207
62	0.4046122564
63	0.4043599922
64	0.4039685047
65	0.4036824533
66	0.4034321834
67	0.4031871839
68	0.4029253954
69	0.4026793948
70	0.4023439617
71	0.4020924003
72	0.4018798321
73	0.4016225338
74	0.4013725346
75	0.4011143594
76	0.4009058656
77	0.4006157004
78	0.400416179
79	0.4002577441
80	0.4000493683
81	0.3998295023
82	0.3996583755
83	0.3993965037
84	0.3992013069
85	0.3989713865
86	0.3988237139
87	0.3986362248
88	0.3984895611
89	0.3983610269
90	0.3981684075
91	0.397970602
92	0.3977161442
93	0.397561401
94	0.397404403
95	0.3972148843
96	0.3970477957
97	0.3968693852
98	0.3966412978
99	0.3964522614
100	0.3962623523
101	0.3960998626
102	0.396004726
103	0.3958642294
104	0.3956474923
105	0.3954676508
106	0.3952949487
107	0.3950974202
108	0.3949782179
109	0.3947493753
110	0.3946032102
111	0.394490888
112	0.3943670762
113	0.3942163909
114	0.393953561
115	0.3938444504
116	0.3937357462
117	0.3935632423
118	0.3933989277
119	0.3931908406
120	0.3930488406
121	0.3928982536
122	0.3927219286
123	0.3926405215
124	0.3925038878
125	0.3924133387
126	0.3922970584
127	0.3921451323
128	0.3919830322
129	0.3918821539
130	0.3917167171
131	0.3916232883
132	0.391550454
133	0.3913702777
134	0.3911949993
135	0.3909736953
136	0.3908323892
137	0.3907263782
138	0.3905296455
139	0.3903363262
140	0.3901466693
141	0.3900320196
142	0.3898596208
143	0.3897250181
144	0.3896428342
145	0.3894703977
146	0.38934999
147	0.3891234118
148	0.3889894547
149	0.3889074331
150	0.3887990673
151	0.3887295308
152	0.3886319586
153	0.3884587043
154	0.3883538571
155	0.3882354754
156	0.3881244366
157	0.3878933221
158	0.387731036
159	0.3876164519
160	0.3874461783
161	0.3873008904
162	0.3871133016
163	0.3869621386
164	0.3869216859
165	0.3868169152
166	0.3867249848
167	0.3866225747
168	0.3865591871
169	0.3864359852
170	0.3862807225
171	0.3861075258
172	0.3858826014
173	0.3857449115
174	0.3855296684
175	0.3854215757
176	0.3853037606
177	0.3851071106
178	0.3849885943
179	0.3848455672
180	0.3847654412
181	0.3846128234
182	0.384332565
183	0.3842380584
184	0.3840777499
185	0.3839639038
186	0.3838273742
187	0.3836942556
188	0.3835809835
189	0.383443745
190	0.3833684177
191	0.3832314742
192	0.3831244985
193	0.3829519577
194	0.3827941724
195	0.3826880175
196	0.3825515034
197	0.3823899807
198	0.3823118674
199	0.3821582141
