iter	Logloss
0	0.6791444749
1	0.6659062091
2	0.6524788836
3	0.6398646422
4	0.6288011231
5	0.618153953
6	0.6081253856
7	0.5989161312
8	0.5901825842
9	0.5804606885
10	0.5722573285
11	0.5651709234
12	0.5578694853
13	0.550718724
14	0.5444156746
15	0.5396445316
16	0.5345180701
17	0.5284665947
18	0.5236882661
19	0.5194952586
20	0.5152498191
21	0.5102483177
22	0.5063281083
23	0.5023380132
24	0.4987624998
25	0.4955619466
26	0.4923147732
27	0.4884515662
28	0.4853844322
29	0.482469661
30	0.4800912489
31	0.4779160225
32	0.4751670069
33	0.4726456258
34	0.4703291365
35	0.4682215763
36	0.465988402
37	0.4637494266
38	0.4616897622
39	0.4595538568
40	0.4575320792
41	0.455745969
42	0.4539181942
43	0.4526384726
44	0.4509027802
45	0.4495858306
46	0.4483321879
47	0.4470581244
48	0.445806918
49	0.444569655
50	0.4435850441
51	0.442314559
52	0.4413278894
53	0.439999165
54	0.4389393632
55	0.4382555829
56	0.4373815134
57	0.4362996626
58	0.4350595987
59	0.4340602667
60	0.433313709
61	0.432836409
62	0.432285068
63	0.4314720098
64	0.4304042233
65	0.4297630332
66	0.4288705683
67	0.4277863474
68	0.4272443731
69	0.4264409164
70	0.4260402428
71	0.4255945377
72	0.4248362522
73	0.4240885105
74	0.4234348726
75	0.4228398697
76	0.4223069659
77	0.4215522198
78	0.4210683247
79	0.4204360728
80	0.4198322986
81	0.4194837971
82	0.4192026054
83	0.418980594
84	0.4184791868
85	0.4179641429
86	0.4176858901
87	0.4170393729
88	0.4165130974
89	0.4159624292
90	0.4155969995
91	0.415205162
92	0.4147920601
93	0.4145483323
94	0.4142246271
95	0.4137550989
96	0.4133340763
97	0.4132000975
98	0.4128840328
99	0.4123969228
100	0.4121588081
101	0.412018829
102	0.4115659405
103	0.4113612106
104	0.4110262947
105	0.4107337169
106	0.410429461
107	0.4102696636
108	0.4099407541
109	0.4096842778
110	0.4095690128
111	0.4093368675
112	0.4089265539
113	0.4086960192
114	0.4083508106
115	0.4082653961
116	0.4081047392
117	0.4077209684
118	0.4074301368
119	0.4071599678
120	0.406914827
121	0.4065991651
122	0.4064484085
123	0.4062139408
124	0.4060544231
125	0.4058100972
126	0.4055888926
127	0.4052881754
128	0.4051976849
129	0.4050379505
130	0.4049279238
131	0.4047599555
132	0.4045810003
133	0.4043327905
134	0.404305688
135	0.404080164
136	0.4039223545
137	0.4037155175
138	0.4035019581
139	0.4034251586
140	0.4031407996
141	0.4028570037
142	0.4028216613
143	0.4026615669
144	0.4024335474
145	0.4023487036
146	0.4022705148
147	0.4022357791
148	0.4021756742
149	0.4020864947
150	0.4020039033
151	0.4019777903
152	0.4018418091
153	0.4018288659
154	0.4017630957
155	0.4016110893
156	0.4014477579
157	0.4013772074
158	0.4010798067
159	0.4009850114
160	0.4007357049
161	0.4006782413
162	0.4005069462
163	0.4004818241
164	0.4003208071
165	0.4002717856
166	0.4000935706
167	0.4000645473
168	0.400026276
169	0.3999959526
170	0.3998541329
171	0.3997526026
172	0.399727086
173	0.3996928658
174	0.3996616765
175	0.3996310904
176	0.3995914454
177	0.3994865582
178	0.3992617194
179	0.3990857724
180	0.3990498935
181	0.3990307446
182	0.3990010235
183	0.3989697357
184	0.3989425274
