iter	Passed	Remaining
0	63	63289
1	121	60649
2	185	61532
3	248	61841
4	313	62464
5	371	61616
6	432	61295
7	491	60961
8	537	59216
9	599	59337
10	661	59514
11	736	60671
12	819	62231
13	876	61745
14	934	61386
15	993	61103
16	1053	60914
17	1111	60663
18	1172	60561
19	1236	60581
20	1295	60385
21	1361	60527
22	1419	60300
23	1477	60085
24	1535	59880
25	1592	59641
26	1653	59603
27	1711	59408
28	1771	59327
29	1829	59153
30	1887	59009
31	1945	58865
32	2003	58706
33	2065	58695
34	2126	58625
35	2184	58503
36	2243	58381
37	2300	58244
38	2359	58133
39	2414	57936
40	2491	58265
41	2558	58366
42	2798	62282
43	2866	62271
44	2919	61959
45	2992	62065
46	3063	62114
47	3119	61870
48	3176	61649
49	3236	61502
50	3295	61326
51	3353	61144
52	3416	61045
53	3472	60833
54	3535	60746
55	3592	60554
56	3658	60518
57	3717	60379
58	3780	60301
59	3840	60163
60	3897	59993
61	3955	59849
62	4018	59765
63	4079	59665
64	4138	59524
65	4196	59383
66	4254	59252
67	4311	59098
68	4368	58937
69	4427	58827
70	4484	58671
71	4545	58589
72	4600	58425
73	4664	58373
74	4723	58252
75	4782	58144
76	4840	58023
77	4904	57969
78	4963	57870
79	5018	57716
80	5077	57603
81	5135	57491
82	5198	57436
83	5291	57699
84	5342	57512
85	5399	57380
86	5457	57273
87	5513	57136
88	5573	57052
89	5633	56959
90	5691	56848
91	5756	56810
92	5815	56719
93	5873	56611
94	5930	56494
95	5984	56356
96	6042	56255
97	6099	56142
98	6161	56075
99	6222	56004
100	6284	55936
101	6343	55843
102	6403	55768
103	6464	55694
104	6521	55588
105	6585	55539
106	6646	55469
107	6709	55418
108	6772	55363
109	6829	55257
110	6887	55160
111	6945	55065
112	7006	54996
113	7063	54899
114	7123	54818
115	7181	54729
116	7237	54624
117	7297	54546
118	7356	54465
119	7417	54392
120	7505	54522
121	7570	54483
122	7630	54405
123	7690	54331
124	7750	54256
125	7815	54215
126	7877	54151
127	7941	54101
128	7986	53922
129	8046	53847
130	8110	53799
131	8173	53743
132	8244	53742
133	8301	53652
134	8364	53596
135	8425	53525
136	8484	53448
137	8543	53367
138	8603	53295
139	8663	53217
140	8721	53135
141	8786	53090
142	8847	53023
143	8908	52959
144	8964	52861
145	9030	52822
146	9092	52762
147	9151	52680
148	9205	52574
149	9264	52497
150	9323	52420
151	9381	52337
152	9476	52459
153	9582	52641
154	9668	52707
155	9778	52904
156	9838	52825
157	9895	52733
158	9951	52636
159	10022	52617
160	10082	52542
161	10145	52479
162	10215	52457
163	10277	52389
164	10332	52287
165	10390	52200
166	10448	52117
167	10509	52044
168	10567	51960
169	10628	51894
170	10689	51822
171	10747	51738
172	10805	51655
173	11010	52270
174	11069	52184
175	11131	52114
176	11199	52075
177	11258	51992
178	11322	51930
179	11389	51884
180	11450	51812
181	11514	51752
182	11573	51668
183	11632	51588
184	11692	51508
185	11750	51424
186	11809	51340
187	11869	51265
188	11933	51206
189	12021	51250
190	12081	51172
191	12140	51090
192	12203	51025
193	12255	50918
194	12314	50837
195	12368	50736
196	12418	50619
197	12475	50530
198	12529	50433
199	12583	50333
200	12643	50260
201	12703	50185
202	12768	50128
203	12830	50064
204	12895	50010
205	12956	49939
206	13015	49862
207	13072	49777
208	13133	49706
209	13189	49616
210	13246	49532
211	13304	49453
212	13361	49368
213	13416	49275
214	13475	49199
215	13535	49128
216	13596	49059
217	13654	48979
218	13717	48920
219	13776	48844
220	13833	48761
221	13890	48678
222	13956	48627
223	14020	48572
224	14082	48504
225	14145	48444
226	14211	48393
227	14289	48383
228	14342	48289
229	14403	48220
230	14462	48144
231	14523	48077
232	14578	47988
233	14633	47901
234	14685	47805
235	14742	47726
236	14798	47643
237	14857	47570
238	14916	47495
239	14977	47430
240	15037	47358
241	15095	47282
242	15154	47210
243	15208	47120
244	15260	47026
245	15319	46955
246	15386	46905
247	15442	46824
248	15502	46756
249	15563	46690
250	15620	46611
251	15676	46533
252	15740	46474
253	15798	46400
254	15856	46326
255	15916	46256
256	15980	46200
257	16037	46123
258	16094	46045
259	16157	45985
260	16216	45916
261	16274	45841
262	16333	45772
263	16398	45716
264	16489	45735
265	16546	45659
266	16603	45580
267	16661	45508
268	16716	45425
269	16773	45351
270	16831	45277
271	16888	45201
272	16949	45136
273	17009	45068
274	17064	44986
275	17122	44916
276	17180	44842
277	17240	44775
278	17300	44707
279	17358	44634
280	17418	44569
281	17483	44515
282	17544	44450
283	17605	44385
284	17660	44307
285	17718	44234
286	17776	44162
287	17835	44092
288	17892	44019
289	17949	43945
290	18004	43866
291	18066	43805
292	18128	43743
293	18198	43700
294	18266	43653
295	18337	43614
296	18393	43537
297	18458	43481
298	18514	43406
299	18571	43334
300	18632	43270
301	18705	43232
302	18764	43164
303	18817	43082
304	18874	43009
305	18935	42944
306	19127	43176
307	19229	43204
308	19286	43130
309	19344	43056
310	19399	42978
311	19458	42908
312	19514	42832
313	19573	42761
314	19644	42718
315	19707	42658
316	19765	42586
317	19827	42523
318	19890	42461
319	19954	42402
320	20020	42349
321	20083	42287
322	20143	42220
323	20212	42171
324	20257	42073
325	20315	42001
326	20371	41927
327	20428	41854
328	20490	41790
329	20546	41715
330	20605	41647
331	20664	41578
332	20729	41520
333	20792	41460
334	20860	41409
335	20943	41387
336	20995	41305
337	21052	41233
338	21109	41160
339	21165	41086
340	21225	41019
341	21295	40972
342	21354	40903
343	21416	40841
344	21472	40767
345	21535	40705
346	21594	40637
347	21653	40568
348	21712	40500
349	21769	40429
350	21837	40378
351	21910	40336
352	21974	40275
353	22036	40212
354	22095	40145
355	22153	40074
356	22212	40008
357	22275	39946
358	22338	39885
359	22403	39829
360	22459	39755
361	22517	39685
362	22578	39620
363	22625	39533
364	22679	39456
365	22737	39385
366	22798	39323
367	22860	39260
368	22928	39208
369	22990	39145
370	23054	39087
371	23127	39042
372	23217	39027
373	23266	38944
374	23323	38873
375	23376	38794
376	23432	38723
377	23493	38659
378	23553	38592
379	23612	38525
380	23671	38457
381	23731	38393
382	23787	38321
383	23848	38256
384	23910	38194
385	23983	38149
386	24042	38082
387	24102	38016
388	24160	37948
389	24217	37878
390	24275	37810
391	24332	37739
392	24390	37671
393	24455	37614
394	24511	37543
395	24570	37475
396	24636	37420
397	24698	37357
398	24758	37292
399	24815	37223
400	24874	37156
401	24934	37092
402	24989	37019
403	25049	36954
404	25117	36900
405	25175	36833
406	25231	36761
407	25287	36692
408	25343	36621
409	25424	36586
410	25475	36508
411	25535	36443
412	25598	36382
413	25654	36313
414	25710	36242
415	25769	36176
416	25826	36107
417	25887	36044
418	25951	35985
419	26009	35917
420	26069	35853
421	26127	35785
422	26196	35733
423	26256	35669
424	26323	35613
425	26386	35553
426	26444	35486
427	26504	35422
